Rk,G,Date,Age,Home vs Away,Opp,Win/Loss by:,GS,3P,3PA,3P%,Time Rested,Name
22,22.0,2017-12-05,31-255,Home,PHO,W (+13),1,5.0,10.0,0.5,4.0,Kyle Lowry
23,23.0,2017-12-08,31-258,Away,MEM,W (+9),1,4.0,9.0,0.444,3.0,Kyle Lowry
24,24.0,2017-12-10,31-260,Away,SAC,W (+15),1,3.0,12.0,0.25,2.0,Kyle Lowry
25,25.0,2017-12-11,31-261,Away,LAC,L (-5),1,0.0,8.0,0.0,1.0,Kyle Lowry
26,26.0,2017-12-13,31-263,Away,PHO,W (+6),1,2.0,7.0,0.28600000000000003,2.0,Kyle Lowry
27,27.0,2017-12-15,31-265,Home,BRK,W (+33),1,2.0,5.0,0.4,2.0,Kyle Lowry
28,28.0,2017-12-17,31-267,Home,SAC,W (+15),1,4.0,8.0,0.5,2.0,Kyle Lowry
29,29.0,2017-12-20,31-270,Away,CHO,W (+18),1,3.0,5.0,0.6,3.0,Kyle Lowry
30,30.0,2017-12-21,31-271,Away,PHI,W (+5),1,3.0,9.0,0.33299999999999996,1.0,Kyle Lowry
31,31.0,2017-12-23,31-273,Home,PHI,W (+16),1,1.0,5.0,0.2,2.0,Kyle Lowry
32,32.0,2017-12-26,31-276,Away,DAL,L (-5),1,4.0,8.0,0.5,3.0,Kyle Lowry
33,33.0,2017-12-27,31-277,Away,OKC,L (-17),1,2.0,7.0,0.28600000000000003,1.0,Kyle Lowry
34,34.0,2017-12-29,31-279,Home,ATL,W (+13),1,2.0,9.0,0.222,2.0,Kyle Lowry
35,35.0,2018-01-01,31-282,Home,MIL,W (+4),1,5.0,10.0,0.5,3.0,Kyle Lowry
36,36.0,2018-01-03,31-284,Away,CHI,W (+9),1,2.0,7.0,0.28600000000000003,2.0,Kyle Lowry
37,37.0,2018-01-05,31-286,Away,MIL,W (+19),1,4.0,8.0,0.5,2.0,Kyle Lowry
38,38.0,2018-01-08,31-289,Away,BRK,W (+1),1,3.0,6.0,0.5,3.0,Kyle Lowry
39,,2018-01-09,31-290,Home,MIA,L (-1),Inactive,,,,1.0,Kyle Lowry
40,,2018-01-11,31-292,Home,CLE,W (+34),Inactive,,,,2.0,Kyle Lowry
41,,2018-01-13,31-294,Home,GSW,L (-2),Inactive,,,,2.0,Kyle Lowry
42,39.0,2018-01-15,31-296,Away,PHI,L (-6),1,1.0,5.0,0.2,2.0,Kyle Lowry
43,40.0,2018-01-17,31-298,Home,DET,W (+5),1,4.0,10.0,0.4,2.0,Kyle Lowry
44,41.0,2018-01-19,31-300,Home,SAS,W (+3),1,4.0,9.0,0.444,2.0,Kyle Lowry
45,42.0,2018-01-20,31-301,Away,MIN,L (-6),1,6.0,10.0,0.6,1.0,Kyle Lowry
46,43.0,2018-01-24,31-305,Away,ATL,W (+15),1,3.0,9.0,0.33299999999999996,4.0,Kyle Lowry
